x y
7.296913669555056714e+00 6.574437789291739165e+00
6.864605224258452765e+00 7.792486732957917717e+00
8.204821775468889911e+00 8.617187479854948151e+00
9.316034025714255762e+00 7.877903797489792304e+00
6.398645919339011279e+00 8.513457547406961368e+00
6.993964575912153592e+00 8.757124533849959036e+00
8.650770474701864998e+00 8.600428528234830949e+00
8.164108021956522521e+00 7.005095201680109795e+00
6.716796489225404621e+00 8.818021255434929984e+00
8.577740665993685454e+00 6.801971728540504358e+00
7.442585730980601610e+00 7.866916903926416182e+00
7.154285244953612732e+00 7.187640557795991647e+00
6.875892435030267258e+00 7.528036733568868044e+00
7.941478591229582662e+00 7.586040278912570045e+00
7.441621808312429032e+00 7.551675296806104498e+00
7.989696776077027884e+00 8.388102332174380393e+00
8.446635702552217850e+00 8.742110586844038522e+00
7.086873271812625497e+00 6.374533347666117677e+00
8.696255375960639356e+00 7.106707981635175031e+00
9.082940864234728906e+00 8.137981425231272326e+00
7.575466737672667428e+00 7.696413995670031483e+00
7.840362686532306391e+00 8.373650370709846413e+00
8.310106027675471907e+00 6.868044796368110383e+00
8.146678094312379770e+00 7.442337679672246686e+00
9.434882461287568134e+00 7.903137195432734963e+00
8.781498684733948679e+00 7.560813157255731554e+00
8.085161551134335767e+00 7.592899349571430534e+00
7.948106281832636455e+00 6.949194322517964650e+00
9.096313536854253812e+00 7.348063480972708561e+00
8.167140029277035751e+00 9.526654668785003111e+00
1.718771477321161001e+01 9.856138717322323828e+00
1.650678998002742759e+01 9.322099597092082135e+00
1.804641209339180108e+01 8.896415323615251225e+00
1.631299412411839356e+01 1.058570356748981567e+01
1.646401680876118689e+01 1.119292484666575582e+01
1.641712607771440702e+01 1.057393865540544198e+01
1.626248169450336789e+01 1.146617146683246347e+01
1.612797827593729494e+01 9.378178528389438995e+00
1.567373519747363630e+01 1.006591239289959638e+01
1.606396648311392639e+01 1.072608638452041951e+01
1.353394791105345796e+01 1.663728956206609766e+01
1.341942941980084392e+01 1.618957511812824990e+01
1.467401438105192923e+01 1.568935161372473530e+01
1.364754453126266576e+01 1.637559514480685863e+01
1.292297723347928695e+01 1.643807308403372147e+01
